species combination	targets
worm, yeast, mouse, rat, fly	0
worm, yeast, rat, human, fly	0
worm, yeast, rat, human, mouse	0
worm, yeast, rat, fly, human	0
worm, yeast, rat, fly, mouse	0
worm, yeast, rat, mouse, human	0
worm, yeast, rat, mouse, fly	0
fly, human, worm, mouse, rat	3
fly, human, worm, mouse, yeast	1
fly, human, worm, rat, mouse	3
fly, human, worm, rat, yeast	0
fly, human, worm, yeast, mouse	1
fly, human, worm, yeast, rat	0
fly, human, mouse, worm, rat	3
fly, human, mouse, worm, yeast	1
fly, human, mouse, rat, worm	3
fly, human, mouse, rat, yeast	2
fly, human, mouse, yeast, worm	1
fly, human, mouse, yeast, rat	2
fly, human, rat, worm, mouse	3
fly, human, rat, worm, yeast	0
fly, human, rat, mouse, worm	3
fly, human, rat, mouse, yeast	2
fly, human, rat, yeast, worm	0
fly, human, rat, yeast, mouse	2
fly, human, yeast, worm, mouse	1
fly, human, yeast, worm, rat	0
fly, human, yeast, mouse, worm	1
fly, human, yeast, mouse, rat	2
fly, human, yeast, rat, worm	0
fly, human, yeast, rat, mouse	2
fly, worm, human, mouse, rat	3
fly, worm, human, mouse, yeast	1
fly, worm, human, rat, mouse	3
fly, worm, human, rat, yeast	0
fly, worm, human, yeast, mouse	1
fly, worm, human, yeast, rat	0
fly, worm, mouse, human, rat	3
fly, worm, mouse, human, yeast	1
fly, worm, mouse, rat, human	3
fly, worm, mouse, rat, yeast	0
fly, worm, mouse, yeast, human	1
fly, worm, mouse, yeast, rat	0
fly, worm, rat, human, mouse	3
fly, worm, rat, human, yeast	0
fly, worm, rat, mouse, human	3
fly, worm, rat, mouse, yeast	0
fly, worm, rat, yeast, human	0
fly, worm, rat, yeast, mouse	0
fly, worm, yeast, human, mouse	1
fly, worm, yeast, human, rat	0
fly, worm, yeast, mouse, human	1
fly, worm, yeast, mouse, rat	0
fly, worm, yeast, rat, human	0
fly, worm, yeast, rat, mouse	0
fly, mouse, human, worm, rat	3
fly, mouse, human, worm, yeast	1
fly, mouse, human, rat, worm	3
fly, mouse, human, rat, yeast	2
fly, mouse, human, yeast, worm	1
fly, mouse, human, yeast, rat	2
fly, mouse, worm, human, rat	3
fly, mouse, worm, human, yeast	1
fly, mouse, worm, rat, human	3
fly, mouse, worm, rat, yeast	0
fly, mouse, worm, yeast, human	1
fly, mouse, worm, yeast, rat	0
fly, mouse, rat, human, worm	3
fly, mouse, rat, human, yeast	2
fly, mouse, rat, worm, human	3
fly, mouse, rat, worm, yeast	0
fly, mouse, rat, yeast, human	2
fly, mouse, rat, yeast, worm	0
fly, mouse, yeast, human, worm	1
fly, mouse, yeast, human, rat	2
fly, mouse, yeast, worm, human	1
fly, mouse, yeast, worm, rat	0
fly, mouse, yeast, rat, human	2
fly, mouse, yeast, rat, worm	0
fly, rat, human, worm, mouse	3
fly, rat, human, worm, yeast	0
fly, rat, human, mouse, worm	3
fly, rat, human, mouse, yeast	2
fly, rat, human, yeast, worm	0
fly, rat, human, yeast, mouse	2
fly, rat, worm, human, mouse	3
fly, rat, worm, human, yeast	0
fly, rat, worm, mouse, human	3
fly, rat, worm, mouse, yeast	0
fly, rat, worm, yeast, human	0
fly, rat, worm, yeast, mouse	0
fly, rat, mouse, human, worm	3
fly, rat, mouse, human, yeast	2
fly, rat, mouse, worm, human	3
fly, rat, mouse, worm, yeast	0
fly, rat, mouse, yeast, human	2
fly, rat, mouse, yeast, worm	0
fly, rat, yeast, human, worm	0
fly, rat, yeast, human, mouse	2
fly, rat, yeast, worm, human	0
fly, rat, yeast, worm, mouse	0
fly, rat, yeast, mouse, human	2
fly, rat, yeast, mouse, worm	0
fly, yeast, human, worm, mouse	1
fly, yeast, human, worm, rat	0
fly, yeast, human, mouse, worm	1
fly, yeast, human, mouse, rat	2
fly, yeast, human, rat, worm	0
fly, yeast, human, rat, mouse	2
fly, yeast, worm, human, mouse	1
fly, yeast, worm, human, rat	0
fly, yeast, worm, mouse, human	1
fly, yeast, worm, mouse, rat	0
fly, yeast, worm, rat, human	0
fly, yeast, worm, rat, mouse	0
fly, yeast, mouse, human, worm	1
fly, yeast, mouse, human, rat	2
fly, yeast, mouse, worm, human	1
fly, yeast, mouse, worm, rat	0
fly, yeast, mouse, rat, human	2
fly, yeast, mouse, rat, worm	0
fly, yeast, rat, human, worm	0
fly, yeast, rat, human, mouse	2
fly, yeast, rat, worm, human	0
fly, yeast, rat, worm, mouse	0
fly, yeast, rat, mouse, human	2
fly, yeast, rat, mouse, worm	0
mouse, human, worm, fly, rat	3
mouse, human, worm, fly, yeast	1
mouse, human, worm, rat, fly	3
mouse, human, worm, rat, yeast	0
mouse, human, worm, yeast, fly	1
mouse, human, worm, yeast, rat	0
mouse, human, fly, worm, rat	3
mouse, human, fly, worm, yeast	1
mouse, human, fly, rat, worm	3
mouse, human, fly, rat, yeast	2
mouse, human, fly, yeast, worm	1
mouse, human, fly, yeast, rat	2
mouse, human, rat, worm, fly	3
mouse, human, rat, worm, yeast	0
mouse, human, rat, fly, worm	3
mouse, human, rat, fly, yeast	2
mouse, human, rat, yeast, worm	0
mouse, human, rat, yeast, fly	2
