 	Rnf146
 	Dido1
 	Rabggtb
 	Timm8b
 	Tasp1
 	Ss18l1
 	AW209491
 	Srrm2
 	Ndst2
 	Rab3gap2
 	Heatr5b
 	Ttc36
 	Prpf18
 	Ubn1
 	Stau1
 	Hs3st6
 	Mrps6
 	Dnajc28
 	Trub2
 	Ccdc40
 	Zfp292
 	Orc3
 	Rep15
 	Alkbh3
 	Ankib1
 	Mars
 	Spns2
 	Bptf
 	Lrrc52
 	Dhx33
 	Limd2
 	Klc3
 	Ints8
 	Agbl2
 	Ublcp1
 	Sox15
 	Atg2b
 	Dicer1
 	Rpl21
 	Gcn1l1
 	Utp15
 	Ubac2
 	Pdcd7
 	Rpl37
 	Mettl8
 	Hnrnpf
 	Hsd3b7
 	Ttc19
 	Setd1a
 	Gnl3
 	Fbrs
 	Zfyve1
 	Wdr55
 	Mapk6
 	Rnf214
 	Gpr153
 	Zfp513
 	Dpy19l1
 	Pigv
 	Usp48
 	Ptpn11
 	Vwce
 	Zmym1
 	S100a1
 	1810024B03Rik
 	Tigd3
 	Adig
 	Rin3
 	Dnd1
 	Palb2
 	Isca1
 	Gm1123
 	Morn2
 	Trim39
 	Mtus1
 	Eif4g1
 	Polr2k
 	Il17c
 	Serinc4
 	9930021J03Rik
 	Zfp84
 	Zfp62
 	Ccdc66
 	Atp10d
 	Zfp445
 	Rpl9
 	Slfnl1
 	Fbxo28
 	Fbxo30
 	Akap10
 	Tnrc6b
 	Tmem81
 	Gm4884
 	Cxcr6
 	Ctxn1
 	Hmgb4
 	Klhl11
 	Rpl29
 	Cep120
 	Slc39a9
 	Fbxw13
 	Dcaf7
 	Gemin4
 	Polr1a
 	Rpl36al
 	Suox
 	Spink8
 	1600012H06Rik
 	Slc25a44
 	Heatr1
 	Zscan29
 	Fam131a
 	Tatdn1
 	Efcab5
 	Pcdhb11
 	Kctd19
 	Dcun1d4
 	Pabpc2
 	Spats2
 	Taf9
 	Rexo4
 	Plekhg3
 	Tnrc6a
 	Grk4
 	Cyp2j6
 	Msl1
 	Fbxo31
 	Supt7l
 	Styx
 	Gas5
 	Chd8
 	Txlna
 	Ech1
 	Gon4l
 	Mrps21
 	Zfp867
 	Ankrd17
 	Mrfap1
 	Klhl26
 	St3gal5
 	Ncoa4
 	Ccdc18
 	Cspp1
 	5730455P16Rik
 	Armc7
 	Apol9a
 	Mrpl18
 	Eif1a
 	Rpl32
 	Fgf18
 	Phtf1
 	Rpl30
 	Fcer1g
 	Usp47
 	Mbtd1
 	Cdh24
 	Prmt7
 	Tmem219
 	H3f3a
 	Ppm1b
 	Stk19
 	Zcchc14
 	Ppp4r1
 	Flot2
 	Iah1
 	Cnih4
 	Gak
 	Rpl17
 	Acat3
 	Armc9
 	Rpl7a
 	4833420G17Rik
 	Klhl24
 	Naa15
 	Alg11
 	Syne2
 	Snrnp70
 	Chchd1
 	Prpf38a
 	Gpx1
 	Ptcd3
 	Brpf3
 	Ghrl
 	Cdc26
 	Numa1
 	Zfyve26
 	Hmgb1
 	Mrgpra4
 	H2-Q10
 	Romo1
 	Tm9sf4
 	Selenbp1
 	Clk2
 	Gm4925
 	Strada
 	Gm12070
 	Capza1
 	Il18bp
 	Fryl
 	Dgkd
 	Tut1
 	Ganab
 	Slc39a2
 	Ptrh2
 	Adam1a
 	Nfxl1
 	Lrrc61
 	Cep76
 	Rpl13a
 	Ovgp1
 	1700034I23Rik
 	Csnk2a1
 	Aarsd1
 	Zfp652
 	Sarnp
 	Ddi2
 	5830417I10Rik
 	Zfp59
 	Zfp970
 	Capn3
 	Mpp4
 	Fdx1l
 	Tcte3
 	Gm3448
 	3110001I22Rik
 	Bcl2l2
 	Rbm12
 	Shprh
 	Acad11
 	Eif4ebp3
 	Med20
 	Tomm20
 	Gm3373
 	Gm5458
 	1700001J03Rik
 	Trpc2
 	Mpv17
 	Exosc6
 	Zc3h11a
 	Tmem223
 	1500010J02Rik
 	Gcet2
 	Oraov1
 	Fam108b
 	Snx9
 	Jag2
 	Sh3gl1
 	Dvl3
 	Thg1l
 	Unkl
 	Ptgis
 	Akt3
 	Kremen1
 	Zkscan17
 	Lpin1
 	Numb
 	Ylpm1
 	Utp23
 	Ntan1
 	Pmm2
 	Psors1c2
 	Rab40b
 	Dtymk
 	Stx6
 	Slc2a8
 	Lin7c
 	Harbi1
 	Ptpra
 	Il1a
 	Aurka
 	Xpa
 	Srsf4
 	Ube4b
 	Dhx15
 	Tesc
 	Mcm7
 	Slc7a10
 	Kctd13
 	Col4a1
 	Phlpp2
 	Cpsf7
 	Nudt1
 	Wdr19
 	1110032A03Rik
 	E130309D02Rik
 	Elavl1
 	Sgms1
 	Mael
 	Zfhx2
 	Zc3h6
 	Tmem186
 	Ccdc60
 	Cep164
 	Thtpa
 	Mis18bp1
 	Slc35e4
 	Tmem125
 	Thoc7
 	Zfp1
 	Retsat
 	Elmod3
 	Phf21a
 	Rrp1b
 	R74862
 	Ndufaf2
 	Oip5
 	Mrgpra3
 	Pigb
 	Gdf1


Spermatocyte	 
 	A930003O13Rik
 	Acot7
 	Pradc1
 	Arhgef1
 	Tln2
 	Lin28b
 	Trhr2
 	Marcks
 	Aldh1a2
 	Gm21708
 	Bnip2
 	Itpkb
 	Mir1960
 	Plcd1
 	Rreb1
 	Gm20098
 	Fgf9
 	Adam10
 	Cdc23
 	BC030500
 	Sept9
 	Fadd
 	Lipi
 	Cts6
 	Adamts5
 	Oxtr
 	Rfx3
 	Acvr1
