HeLa (cervix adenocarcinoma); erythroleukemia cells	 
 	UBTD1
 	NGRN
 	CCDC151
 	JOSD1
 	JARID2


BPE cells (breast epithelium); BPLER cells (breast epithelium); HME1 cells (breast epithelium); K562 cells (erythroleukemia cells); MCF7 cells (breast epithelium)	 
 	RHBDD2
 	TPD52L2
 	UBE2D3
 	RSRC2
 	HAO2
 	CBX3
 	HNRNPA2B1
 	CKS2
 	PAX8
 	AANAT
 	TPT1
 	CCT5
 	PRKCA
 	ABHD3
 	PCBD1
 	STAT6
 	CAMTA1
 	CCDC57
 	KNTC1
 	SERINC4
 	LYRM4
 	PGAM5
 	WNT3
 	MBOAT7
 	TSEN34
 	NXN
 	BMP7


BPLER cells (breast epithelium); MCF7 cells (breast epithelium)	 
 	POLR3B
 	ANGEL1
 	GPC1
 	GOLGA3
 	HNRNPH3
 	PBLD
 	MLX
 	LRRC59
 	GTF2F1
 	PRR7
 	RALGDS
 	IFT122
 	RFC4
 	COQ4
 	PTEN
 	POLR2L
 	TRIM52
 	AHNAK2
 	TSPAN4
 	PRAF2
 	FOXK2
 	KLC1


BPE cells (breast epithelium); BPLER cells (breast epithelium); HME1 cells (breast epithelium); HeLa (cervix adenocarcinoma); K562 cells (erythroleukemia cells)	 
 	SPHK2
 	CELSR1
 	SNAP23
 	RANGAP1
 	MORC4
 	BAG3
 	DNAJB4
 	HSPA4
 	BAIAP2
 	SLC35F3
 	SLC5A3
 	MRPS6
 	AZIN1
 	TAF7


BPE cells (breast epithelium); BPLER cells (breast epithelium); MCF7 cells (breast epithelium)	 
 	CA12
 	PMS2
 	PARD6B
 	IDS


BPE cells (breast epithelium); BPLER cells (breast epithelium); HeLa (cervix adenocarcinoma); K562 cells (erythroleukemia cells)	 
 	LTBP4


BPLER cells (breast epithelium); HME1 cells (breast epithelium); HeLa (cervix adenocarcinoma); K562 cells (erythroleukemia cells)	 
 	PAPOLA
 	PRKCSH


BPLER cells (breast epithelium); K562 cells (erythroleukemia cells); MCF7 cells (breast epithelium)	 
 	PGK1
 	VRK3


BPLER cells (breast epithelium); HeLa (cervix adenocarcinoma); K562 cells (erythroleukemia cells)	 
 	UBE2I
 	PAQR4


BPE cells (breast epithelium); BPLER cells (breast epithelium); HeLa (cervix adenocarcinoma)	 
 	RAB5C
 	RBM25
 	FRS3
 	COL2A1
 	OXR1
 	SRP68
 	HRH1
 	ABLIM1


BPLER cells (breast epithelium); HME1 cells (breast epithelium); HeLa (cervix adenocarcinoma); MCF7 cells (breast epithelium)	 
 	SOS1


BPLER cells (breast epithelium); HME1 cells (breast epithelium); HeLa (cervix adenocarcinoma); K562 cells (erythroleukemia cells); MCF7 cells (breast epithelium)	 
 	CCT7


BPE cells (breast epithelium); BPLER cells (breast epithelium); K562 cells (erythroleukemia cells); MCF7 cells (breast epithelium)	 
 	CUX1


HME1 cells (breast epithelium)	 
 	SLC23A2
 	CPNE1
 	SLC35C2
 	ELMO2
 	CTPS
 	COL24A1
 	OBSCN
 	ZFYVE20
 	HACL1
 	BTD
 	RAD51AP2
 	SMC6
 	GEN1
 	NT5C1B
 	PLB1
 	DIS3L2
 	SSBP2
 	TBC1D1
 	PPP3CA
 	WDR17
 	TUBB4Q
 	CD109
 	MLLT4
 	TDRD7
 	ZMAT4
 	FKBP14
 	PLEKHA8
 	AP1S1
 	VGF
 	KCND2
 	OR56B1
 	CBARA1
 	NALCN
 	ERC1
 	PARP11
 	LST-3TM12
 	MRPS35
 	LUM
 	ACSBG1
 	PCNX
 	SKAP1
 	TERF2
 	ZFP161
 	ATP8B1
 	DSCR3
 	C22orf26
 	ORC1L
 	ZZZ3
 	IQWD1
 	C3orf15
 	C3orf28
 	SGEF
 	DDEF2
 	BRE
 	LYCAT
 	LASS6
 	C2orf21
 	FYB
 	NOL14
 	KIAA0922
 	C6orf138
 	C6orf170
 	GPR126
 	39416
 	PGCP
